lagoslakeid,nh4,no2,sampleyear,secchi
4664,22.1,,1992,
4664,27.727272727272727,,1993,
4664,28.272727272727273,,1994,
4664,18.09090909090909,,1995,
4664,52.8,,1996,
4664,14.909090909090908,,1997,
4664,17.636363636363637,,1998,
4664,20.3,,1999,
4664,16.727272727272727,,2000,
4664,18.181818181818183,,2001,
4664,18.181818181818183,,2002,
4664,17.181818181818183,,2003,
4664,35.81818181818182,,2004,
4664,31.363636363636363,,2005,
4664,34.72727272727273,,2006,
4664,10.9,,2007,
4664,8.272727272727273,,2008,
4664,8.5,,2009,
4664,29.181818181818183,,2010,
4664,63.875,,2011,
906,,,1981,
906,23.0,,1982,
906,27.0,,1983,
906,32.588235294117645,,1984,
906,22.4,,1985,
906,13.4,,1986,
906,25.6,,1987,
906,56.27272727272727,,1988,
906,20.818181818181817,,1989,
906,25.09090909090909,,1990,
906,37.6,,1991,
906,14.0,,1992,
906,27.88888888888889,,1993,
906,25.0,,1994,
906,18.454545454545453,,1995,
906,27.2,,1996,
906,29.181818181818183,,1997,
906,29.545454545454547,,1998,
906,23.363636363636363,,1999,
906,30.818181818181817,,2000,
906,25.636363636363637,,2001,4.8768
906,20.363636363636363,,2002,
906,31.727272727272727,,2003,
906,46.45454545454545,,2004,
906,44.54545454545455,,2005,
906,36.63636363636363,,2006,
906,10.454545454545455,,2007,
906,18.88888888888889,,2008,
906,27.1,,2009,
906,22.8,,2010,
906,80.57142857142857,,2011,
4559,,,1967,5.715
4559,,,1968,2.5907999999999998
4559,,,1969,5.1816
4559,,,1970,5.1816
4559,,,1971,2.2352000000000003
4559,,,1972,3.064933333333333
4559,,,1973,2.286
4559,,,1974,4.1148
4559,,,1980,2.6
4559,,,1981,1.1
4559,,,1988,
4559,,,1989,1.6764000000000001
4559,,,1990,
4559,,,1991,
4559,,,1992,
4559,,,1993,1.8288
4559,,,1994,
4559,181.13333333333333,,1995,
4559,162.9375,,1996,
4559,186.0,,1997,
4559,154.4,,1998,
4559,157.58823529411765,,1999,
4559,189.1875,,2000,
4559,157.46666666666667,,2001,
4559,106.76923076923077,,2002,
4559,91.8125,,2003,
4559,114.8,,2004,
4559,113.76923076923077,,2005,1.53924
4559,76.2,,2006,1.6764
4559,111.05882352941177,,2007,2.0954999999999995
4559,112.07142857142857,,2008,1.7487899999999998
4559,179.8,,2009,1.863852
4559,111.86666666666666,,2010,1.772412
4559,148.46153846153845,,2011,1.696212
4559,,,2012,1.6550639999999999
4559,,,2013,
5371,,,1980,2.5
5371,,,1981,0.9
5371,,,1988,
5371,,,1989,
5371,,,1990,
5371,,,1991,
5371,,,1992,
5371,,,1993,
5371,,,1994,
5371,176.6,,1995,
5371,201.25,,1996,
5371,207.5,,1997,
5371,157.52941176470588,,1998,
5371,155.35294117647058,,1999,
5371,240.52941176470588,,2000,
5371,147.9375,,2001,
5371,93.86666666666666,,2002,
5371,164.8,,2003,
5371,134.06666666666666,,2004,
5371,132.33333333333334,,2005,
5371,203.0625,,2006,
5371,160.05882352941177,,2007,
5371,113.57142857142857,,2008,
5371,174.8,,2009,
5371,104.53333333333333,,2010,
5371,160.46153846153845,,2011,
5371,,,2012,
5371,,,2013,
447,,,1992,0.8099999999999999
447,76.23066233333334,,1993,0.758095238095238
447,106.63198996153845,,1994,0.7071153846153848
447,192.63905188888887,,1995,0.5693181818181817
447,150.93620757407405,,1996,0.724
447,70.92774497368423,,1997,0.6249999999999999
447,193.3276685294118,,1998,0.595625
447,156.81799999999998,,1999,0.4710000000000001
447,101.08566,,2000,0.5270833333333332
447,70.75915789473686,,2001,0.6496590909090909
447,79.31145422535214,,2002,0.4731349206349207
447,49.150746268656725,,2003,0.5881854838709678
447,155.0340909090909,,2004,0.6679999999999998
447,97.28194444444445,,2005,0.6657317073170734
447,473.55357142857144,,2006,0.5669879518072286
447,,,2007,0.5631896551724139
447,,,2008,0.6316666666666667
447,,,2009,0.6780000000000002
447,,,2010,0.6041304347826086
